resto_id,resto_name,url,kota,rating,preferred,opening_id
36,kembang api snack indonesia kampung bali,https://food.grab.com/id/id/restaurant/kembang-api-snack-indonesia-kampung-bali-delivery/6-C36JR651CJ5WNN?,Jakarta,5.0,1,2.0
37,toko kue dan bolu putra mahkota palmerah,https://food.grab.com/id/id/restaurant/toko-kue-dan-bolu-putra-mahkota-palmerah-delivery/6-C2BUNAKGCVECEN?,Jakarta,4.5,1,17.0
38,capital bakery cake maphar,https://food.grab.com/id/id/restaurant/capital-bakery-cake-maphar-delivery/6-C2DKVRDFCUL3VJ?,Jakarta,4.9,1,18.0
39,xxi cafe djakarta teater,https://food.grab.com/id/id/restaurant/xxi-cafe-djakarta-teater-delivery/6-CZMKTCM3PGB2AA?,Jakarta,,0,2.0
40,rokusku kebon kacang,https://food.grab.com/id/id/restaurant/rokusku-kebon-kacang-delivery/6-CY4GN3DWSFDZE2?,Jakarta,4.9,1,12.0
41,brownies amanda garuda gunung sahari selatan,https://food.grab.com/id/id/restaurant/brownies-amanda-garuda-gunung-sahari-selatan-delivery/6-CYX2WCJDTTWWR6?,Jakarta,4.8,1,19.0
42,beard papa s st gambir,https://food.grab.com/id/id/restaurant/beard-papa-s-st-gambir-delivery/6-C36ZGT5TPEVFLJ?,Jakarta,4.7,1,20.0
43,roti o st gambir 4,https://food.grab.com/id/id/restaurant/roti-o-st-gambir-4-delivery/6-C333JFWJGJJTNA?,Jakarta,5.0,1,21.0
44,roti bakar super premium galur,https://food.grab.com/id/id/restaurant/roti-bakar-super-premium-galur-delivery/6-C2LJNY5FC7KVLN?,Jakarta,4.8,1,22.0
45,kerotian by roti eneng cikini,https://food.grab.com/id/id/restaurant/kerotian-by-roti-eneng-cikini-delivery/6-C33CVRMDV7JEAN?,Jakarta,,0,2.0
46,amanda brownies lapis talas bogor kramat,https://food.grab.com/id/id/restaurant/amanda-brownies-lapis-talas-bogor-kramat-delivery/6-C3DJTTMBVUCDLX?,Jakarta,4.9,1,23.0
47,roti unyil jiw bread gambir,https://food.grab.com/id/id/restaurant/roti-unyil-jiw-bread-gambir-delivery/6-CY2XMB2ZWANXGN?,Jakarta,4.8,1,24.0
