hotel_name,review,address,prices,location,cleanliness,service,value
 Ivory Hotel Bandung,4.5,"Jl. Bahureksa no. 3, Bandung 40115 Indonesia",476388,4.4,4.4,4.3,4.4
 Grand Viveana Hotel,4.0,"Jl. Pajajaran no. 73 Ciceando, Bandung 40172 Indonesia",273017,4.0,5.0,4.0,3.5
 De'Rain Hotel Bandung,3.5,"Jl. Lengkong Kecil 76-80, Bandung 40261 Indonesia",254989,4.1,3.9,3.7,3.8
 Verona Palace Hotel,4.0,"Jl. Surya Sumantri No.36, Bandung 40164 Indonesia",218500,3.6,4.3,4.0,4.1
 The Cipaku Garden Hotel,4.0,"Jl. Cipaku Indah X No.2-4, Bandung 40143 Indonesia",370513,3.3,3.7,3.6,3.7
 Favehotel Braga,3.5,"Jl. Braga no. 99-101 Braga City Walk Entertainment Complex, Bandung 40111 Indonesia",396001,4.4,3.7,3.8,3.7
 Park View Hotel Bandung,4.0,"Jl. Sukajadi no. 153, Bandung 40162 Indonesia",102454,4.6,4.4,4.3,4.3
 Lembang Asri,4.0,"Km 4 Jl Kolonel Masturi Lembang, Bandung Indonesia",462289,3.8,3.9,3.9,4.0
 Atlantic City Hotel,4.0,"Jl. Pasirkaliki no. 126, Bandung 40171 Indonesia",307323,4.3,4.4,4.1,3.6
 Yokotel City,5.0,"Jl. Dr. Rajiman No.3 Pasir Kaliki, Cicendo, Bandung 40171 Indonesia",270816,0.0,0.0,0.0,0.0
 Cihampelas Hotel 2 RedPartner,3.5,"Jl. Cihampelas No. 222, Coblong, Bandung 40131 Indonesia",61053,4.1,3.0,3.8,3.7
 OYO 342 De'kayakini Hotel,3.5,"Jl. Cipamokolan Komp. Rancaloa Regency Ii No.7 Cipamokolan, Rancasari, Riung Bandung, Bandung 40292 Indonesia",97517,2.0,3.0,0.0,0.0
 Travello Hotel Bandung,5.0,"Jl. Dr Setiabudhi no. 268, Bandung 40143 Indonesia",489395,4.7,4.3,4.7,4.8
 ibis Styles Bandung Grand Central,5.0,"Jl. Diponegoro 27, Bandung 40115 Indonesia",1157025,5.0,4.4,4.9,4.9
 Grand Dafam Braga Bandung,5.0,"Jalan Braga No. 99-101, Bandung 40111 Indonesia",494886,4.9,4.1,4.9,4.8
 Gino Feruci Braga Hotel,4.5,"Jln. Braga no. 67, Bandung 40111 Indonesia",383881,4.5,4.0,4.1,4.0
 Serela Cihampelas Hotel Bandung,4.5,"Jl. Cihampelas no. 147, Bandung 40131 Indonesia",276930,4.9,4.3,4.5,4.5
 Zest Hotel Sukajadi,4.0,"Jl. Sukajadi no. 16, Bandung 40161 Indonesia",360857,4.3,4.3,4.3,4.2
 Hilton Bandung,4.5,"H.O.S. Tjokroaminoto no 41 - 43, Bandung 40172 Indonesia",1300000,4.3,4.5,4.5,4.3
 ASTON Pasteur,4.5,"Jl. Dr. Djundjunan no. 162, Bandung 40162 Indonesia",597417,4.4,4.3,4.3,4.2
 Panen Hotel Bandung,5.0,"100 Jalan L. L. R.E. Martadinata, Bandung 40113 Indonesia",92107,4.9,5.0,4.9,4.9
 GH Universal Hotel,5.0,"Jl. Dr Setiabudhi 376, Bandung 40143 Indonesia",484468,4.6,3.9,4.6,4.6
 Arion Suites Hotel,5.0,"Jl. Otto Iskandardinata No. 16 Bandung City Center, Bandung 40171 Indonesia",257607,5.0,5.0,4.9,0.0
 Gumilang Regency Hotel,3.5,"Jl. Setiabudi no. 323-325, Bandung 40154 Indonesia",439939,3.6,3.7,3.7,3.5
 Hotel Santika Pasir Koja,5.0,"Jl. Peta No.176, Bandung 40231 Indonesia",435168,4.8,4.9,4.9,0.0
 Art Deco Luxury Hotel & Residence,4.0,"Jl. Rancabentang No. 2, Bandung 40142 Indonesia",881381,4.1,4.1,4.1,3.9
 Kollektiv Hotel,4.5,"Jl. Prof. Insinyur Doktor Sutami No. 62, Bandung 40152 Indonesia",378746,4.0,4.8,4.3,4.3
 Horison Green Forest Resort,4.0,"Jl. Sersan Bajuri No.102 Cihideung, Bandung 40559 Indonesia",654874,4.0,3.3,3.7,3.9
 Sandalwood Boutique Hotel,4.5,"Jalan Seskoau No 1, Bandung 40791 Indonesia",747358,4.2,4.4,4.3,4.1
 Oasis Siliwangi Hotel Bandung,4.0,"Jl. Lombok No.10, Bandung 40113 Indonesia",495014,3.8,3.7,3.2,3.5
 PRIME PARK Hotel Bandung,4.0,"Jl. P.H.H. Mustofa no. 47/57, Bandung 40124 Indonesia",375879,3.9,4.2,4.2,4.3
 Hotel Citradream Bandung,4.0,"Jl. Pasirkaliki no. 36-42, Bandung 40171 Indonesia",233209,4.4,4.1,4.0,4.0
 V Hotel & Residence,4.0,"Jl. Terusan Sutami III Terusan Setrawangi Raya, Bandung Indonesia",184157,3.4,3.9,3.6,3.7
 The Silk At Dago,3.5,"Jl. Ir. H.Djuanda No.392 - 394, Bandung 40135 Indonesia",306053,3.9,3.8,3.7,3.4
 Nindya Biodistrict Hotel,5.0,"Jl. Phh. Mustofa, No. 57 Perempatan Cikutra, Bandung 40124 Indonesia",55321,0.0,0.0,0.0,0.0
 Vio Cihampelas Hotel,3.5,"Jl. Cihampelas no. 108, Bandung 40116 Indonesia",223275,4.3,3.4,3.3,3.3
 Bali World Hotel,3.0,"Jl. Soekarno-Hatta no. 713 By-Pass Timur, Bandung 40286 Indonesia",260991,2.9,3.4,3.2,3.0
 HAY Bandung,4.0,"Jl. Trunojoyo no. 19, Bandung 40115 Indonesia",552251,5.0,4.2,4.0,4.3
 De Batara Hotel,3.5,"Jl. Cihampelas no. 112, Bandung 40116 Indonesia",214904,4.4,3.9,3.9,3.6
 Grand Aquila Hotel Bandung,3.5,"Jl. DR Djundjunan 116, Bandung 40163 Indonesia",685736,3.9,3.3,3.7,3.2
 Green Batara Hotel,3.5,"Jln. Cihampelas no 145, Bandung 40131 Indonesia",217762,4.5,3.7,3.7,4.1
 Vio Hotel Pasteur,3.5,"Jl. Dr Jungjunan no. 154 Pasteur, Bandung 40163 Indonesia",369427,3.7,3.4,3.3,3.3
