Ranking,World Ranking,University,Country,Impact Rank,Openness Rank,Excellence Rank,Uni Profile
1275,16622,Akademi Akuntansi dan Manajemen Mitra Lampung,Indonesia,22013,4568,7212,https://en.wikipedia.org/wiki/Akademi Akuntansi da
1276,16639,Akademi Keperawatan AKPER RS Dustira Cimahi,Indonesia,15509,6553,7212,https://en.wikipedia.org/wiki/Akademi Keperawatan 
1277,16639,Sekolah Tinggi Hukum Bandung Jl Cihampelas 8 Bandung,Indonesia,15509,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Hukum
1278,16659,STAIM Probolinggo,Indonesia,16216,6507,7212,https://en.wikipedia.org/wiki/STAIM Probolinggo
1279,16661,Institut Sains dan Teknologi Nasional ISTN,Indonesia,15534,6553,7212,https://ror.org/052a22698
1280,16680,Sekolah Tinggi Ilmu Ekonomi STIE Sebelas April Sumedang,Indonesia,15557,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1281,16680,CFVG,Vietnam,15557,6553,7212,https://en.wikipedia.org/wiki/CFVG
1282,16680,Politeknik Jeli,Malaysia,15557,6553,7212,https://en.wikipedia.org/wiki/Politeknik Jeli
1283,16705,Institut Ilmu Kesehatan IKK STRADA Indonesia,Indonesia,15587,6553,7212,https://ror.org/01zj87490
1284,16705,Sekolah Tinggi Ilmu Kesehatan Blitar,Indonesia,15587,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1285,16724,Institut Teknologi Garut,Indonesia,19986,5666,7212,https://en.wikipedia.org/wiki/Institut Teknologi G
1286,16726,Sekolah Tinggi Teknologi Informasi NIIT I Tech Jakarta,Indonesia,15610,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Tekno
1287,16745,Universitas Methodist Indonesia,Indonesia,15635,6553,7212,https://ror.org/01a6gjq30
1288,16745,Universitas Bosowa,Indonesia,15636,6553,7212,https://ror.org/01e6mcq80
1289,16745,University of Technology Sarawak,Malaysia,19986,5674,7212,https://ror.org/03d2p2e72
1290,16745,Camarines Sur Polytechnic Colleges,Philipine,15636,6553,7212,https://en.wikipedia.org/wiki/Camarines Sur Polyte
1291,16762,Perguruan Tinggi Dian Cipta Cendikia,Indonesia,18043,6260,7212,https://en.wikipedia.org/wiki/Perguruan Tinggi Dia
1292,16762,Sekolah Tinggi Ilmu Ekonomi STIE Pasundan Bandung,Indonesia,19439,5875,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1293,16766,Sekolah Tinggi Agama Islam Negeri STAIN Sultan Abdurrahman Kepulauan Riau,Indonesia,15661,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
1294,16766,Institut Agama Islam Syarifuddin,Indonesia,19105,5984,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
1295,16766,MAGES Institute of Exellence,Singapore,15661,6553,7212,https://en.wikipedia.org/wiki/MAGES Institute of E
1296,16766,PalComTech,Indonesia,15661,6553,7212,https://en.wikipedia.org/wiki/PalComTech
1297,16785,University of Education,Vietnam,15686,6553,7212,https://en.wikipedia.org/wiki/University of Educat
1298,16785,Universitas Nahdlatul Ulama Purwokerto,Indonesia,20912,5287,7212,https://en.wikipedia.org/wiki/Universitas Nahdlatu
1299,16804,Philippine Military Academy,Philipine,15704,6553,7212,https://en.wikipedia.org/wiki/Philippine Military 
1300,16804,Universitas Islam Zainul Hasan Genggong,Indonesia,21163,5193,7212,https://en.wikipedia.org/wiki/Universitas Islam Za
1301,16823,Universitas Tulungagung,Indonesia,20210,5635,7212,https://ror.org/05dybcw48
1302,16823,Universitas Kusuma Husada Surakarta,Indonesia,20583,5441,7212,https://en.wikipedia.org/wiki/Universitas Kusuma H
1303,16826,Universitas Sunan Giri Surabaya,Indonesia,15729,6553,7212,https://ror.org/00gjmav90
1304,16826,Eastern Samar State University,Philipine,22616,6553,6557,https://ror.org/04zskzc62
1305,16839,Universitas Islam Djakarta,Indonesia,20166,5656,7212,https://ror.org/05djtcm98
1306,16839,STAIN Majene,Indonesia,20078,5680,7212,https://en.wikipedia.org/wiki/STAIN Majene
1307,16839,Vietnam Aviation Academy,Vietnam,15746,6553,7212,https://en.wikipedia.org/wiki/Vietnam Aviation Aca
1308,16850,Bohol Island State University (Central Visayas State College of Agriculture),Philipine,18337,6227,7212,https://ror.org/00hnkz789
1309,16850,Universitas Wiraraja,Indonesia,15758,6553,7212,https://ror.org/04zqz4f11
1310,16869,Universitas Surya,Indonesia,15782,6553,7212,https://ror.org/0351zfv36
1311,16869,Politeknik Sultan Idris Shah,Malaysia,15782,6553,7212,https://en.wikipedia.org/wiki/Politeknik Sultan Id
1312,16891,Informatics Computer Institute,Philipine,15810,6553,7212,https://en.wikipedia.org/wiki/Informatics Computer
1313,16891,Sekolah Tinggi Ilmu Administrasi STIA Bina Banua,Indonesia,15810,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1314,16938,Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP Santo Paulus Ruteng Manggarai,Indonesia,20021,5735,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Kegur
1315,16954,Universitas Bung Karno,Indonesia,18752,6159,7212,https://ror.org/00y0cnq88
1316,16957,Ho Chi Minh City University of Arts,Vietnam,15887,6553,7212,https://ror.org/05cwygk15
1317,16957,Hue College of Teacher Training,Vietnam,15887,6553,7212,https://en.wikipedia.org/wiki/Hue College of Teach
1318,16957,San Sebastian College Manila,Philipine,15887,6553,7212,https://en.wikipedia.org/wiki/San Sebastian Colleg
1319,16977,Central Mindanao Colleges,Philipine,15914,6553,7212,https://ror.org/02t5vjx28
1320,16977,Politeknik Negeri Media Kreatif POLIMEDIA,Indonesia,15914,6553,7212,https://en.wikipedia.org/wiki/Politeknik Negeri Me
1321,16977,Sekolah Tinggi Manajemen Informatika dan Komputer STMIK Banjarbaru,Indonesia,15914,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Manaj
1322,17006,Universitas Katolik Darma Cendika,Indonesia,20494,5594,7212,https://ror.org/05n4f1v75
1323,17006,Politeknik Penerbangan Surabaya,Indonesia,15945,6553,7212,https://en.wikipedia.org/wiki/Politeknik Penerbang
1324,17046,Universitas Muhammadiyah Pekajangan Pekalongan UMPP,Indonesia,21608,5076,7212,https://en.wikipedia.org/wiki/Universitas Muhammad
1325,17049,Universitas Mikroskil,Indonesia,15993,6553,7212,https://en.wikipedia.org/wiki/Universitas Mikroski
1326,17075,International University Cambodia,Kamboja,16022,6553,7212,https://ror.org/02knr1992
1327,17075,Politeknik Sultan Azlan Shah,Malaysia,16022,6553,7212,https://en.wikipedia.org/wiki/Politeknik Sultan Az
1328,17092,Politeknik Sultan Haji Ahmad Shah,Malaysia,16045,6553,7212,https://en.wikipedia.org/wiki/Politeknik Sultan Ha
1329,17111,Universitas Islam Indragiri,Indonesia,16073,6553,7212,https://ror.org/0247ag655
1330,17156,University of Rizal System,Philipine,16122,6553,7212,https://ror.org/02ymr0w73
1331,17156,Universitas Sunan Giri Ponorogo,Indonesia,16809,6507,7212,https://en.wikipedia.org/wiki/Universitas Sunan Gi
1332,17156,Sekolah Tinggi Agama Islam STAI Al Akbar Surabaya,Indonesia,16148,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Agama
1333,17179,Universitas Al Washliyah UNIVA Medan,Indonesia,20118,5805,7212,https://ror.org/02s6q6726
1334,17182,Universitas Peradaban Bumiayu,Indonesia,20118,5811,7212,https://en.wikipedia.org/wiki/Universitas Peradaba
1335,17195,Politeknik Ungku Omar,Malaysia,16168,6553,7212,https://ror.org/001chpb97
1336,17195,Bangkok School of Management,Thailand,16168,6553,7212,https://en.wikipedia.org/wiki/Bangkok School of Ma
1337,17195,Sekolah Tinggi Ekonomi Islam SEBI,Indonesia,17560,6425,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ekono
1338,17217,Foundation University,Philipine,16197,6553,7212,https://ror.org/00we17t20
1339,17217,Sekolah Tinggi Ilmu Kehutanan STIK Pante Kulu,Indonesia,16197,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1340,17229,Negros Oriental State University (Central Visayas Polytechnic College),Philipine,20583,6553,6819,https://ror.org/016t28114
1341,17229,(1) University of the Visayas,Philipine,16216,6553,7212,https://ror.org/03ryjp350
1342,17229,National Teachers College Philippines,Philipine,16216,6553,7212,https://en.wikipedia.org/wiki/National Teachers Co
1343,17229,Asian Institute of Technology Center in Vietnam AITCV,Vietnam,16216,6553,7212,https://en.wikipedia.org/wiki/Asian Institute of T
1344,17229,Olympia College Malaysia,Malaysia,16216,6553,7212,https://en.wikipedia.org/wiki/Olympia College Mala
1345,17258,Aldersgate College,Philipine,16247,6553,7212,https://en.wikipedia.org/wiki/Aldersgate College
1346,17258,Philippine Merchant Marine Academy,Philipine,16247,6553,7212,https://en.wikipedia.org/wiki/Philippine Merchant 
1347,17258,Sekolah Tinggi Islam al Mukmin Surakarta STIM Surakarta,Indonesia,16277,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Islam
1348,17283,Politeknik Tuanku Syed Sirajuddin,Malaysia,16278,6553,7212,https://ror.org/03rj87919
1349,17283,Kolej Yayasan Pelajaran Johor,Malaysia,16278,6553,7212,https://en.wikipedia.org/wiki/Kolej Yayasan Pelaja
1350,17283,Politeknik Kota Bharu,Malaysia,16278,6553,7212,https://en.wikipedia.org/wiki/Politeknik Kota Bhar
1351,17309,DRB-HICOM University of Automotive Malaysia,Malaysia,16308,6553,7212,https://en.wikipedia.org/wiki/DRB-HICOM University
1352,17309,Hatyai Technical College,Thailand,16308,6553,7212,https://en.wikipedia.org/wiki/Hatyai Technical Col
1353,17334,Universitas Mathla'ul Anwar,Indonesia,21718,5180,7212,https://ror.org/05j2ycs33
1354,17334,Sekolah Tinggi Ilmu Kesehatan STIKES Karya Husada Semarang,Indonesia,21718,5177,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1355,17355,Universitas Widya Dharma Klaten,Indonesia,16359,6553,7212,https://ror.org/00pqc4v87
1356,17355,University of Luzon,Philipine,16359,6553,7212,https://ror.org/03zzekj93
1357,17373,Sekolah Tinggi Ilmu Kesehatan STIKES Banyuwangi,Indonesia,20823,5630,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1358,17389,Universitas Kader Bangsa Palembang,Indonesia,21267,5431,7212,https://ror.org/05f06q946
1359,17426,Universitas Selamat Sri UNISS,Indonesia,21220,5485,7212,https://en.wikipedia.org/wiki/Universitas Selamat 
1360,17448,Institut Agama Islam Negeri IAIN Ternate,Indonesia,21472,5371,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
1361,17450,Universitas Sari Mutiara,Indonesia,16480,6553,7212,https://ror.org/00zk5w269
1362,17450,Sekolah Tinggi Ilmu ManajemenSTIM Sukma Medan,Indonesia,16480,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1363,17466,La Salle University Ozamiz,Philipine,16500,6553,7212,https://ror.org/01e8b7f16
1364,17466,Asian Institute of Journalism and Communication,Philipine,16500,6553,7212,https://en.wikipedia.org/wiki/Asian Institute of J
1365,17466,Oriental Nilam College of Nursing and Health Sciences,Malaysia,16500,6553,7212,https://en.wikipedia.org/wiki/Oriental Nilam Colle
1366,17492,Sekolah Tinggi Ilmu Kesehatan STIKES Jenderal Achmad Yani Cimahi,Indonesia,22269,5023,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1367,17493,Manuel S Enverga University,Philipine,16529,6553,7212,https://ror.org/02fhfq388
1368,17493,Politeknik Katolik Saint Paul Sorong,Indonesia,16529,6553,7212,https://en.wikipedia.org/wiki/Politeknik Katolik S
1369,17493,Akademi Kebidanan AKBID Ikabina,Indonesia,16529,6553,7212,https://en.wikipedia.org/wiki/Akademi Kebidanan AK
1370,17493,Sekolah Tinggi Ilmu Ekonomi STIE Rajawali Purworejo,Indonesia,16529,6553,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1371,17493,University of Transport and Communications Ho Chi Minh City,Vietnam,16529,6553,7212,https://en.wikipedia.org/wiki/University of Transp
1372,17534,Institut Agama Islam Nahdlatul Ulama I Kebumen IAINU Kebumen,Indonesia,16574,6553,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
1373,17534,Sekolah Tinggi Ilmu Kesehatan STIKES Cendekia Utama Kudus,Indonesia,20078,5955,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Ilmu 
1374,17555,Long An University of Economy and Industry,Vietnam,16598,6553,7212,https://en.wikipedia.org/wiki/Long An University o
1375,17555,Universitas Gema Nusa UGN Makassar,Indonesia,21718,5305,7212,https://en.wikipedia.org/wiki/Universitas Gema Nus
1376,17583,Asian Institute of Maritime Studies,Philipine,16634,6553,7212,https://en.wikipedia.org/wiki/Asian Institute of M
1377,17583,Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP PGRI Sumenep,Indonesia,22269,5076,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Kegur
1378,17608,Gia Đinh University,Vietnam,16662,6553,7212,https://en.wikipedia.org/wiki/Gia Đinh University 
1379,17608,Kalayaan College,Philipine,16662,6553,7212,https://en.wikipedia.org/wiki/Kalayaan College
1380,17628,University of Perpetual Help System Laguna,Philipine,16687,6553,7212,https://en.wikipedia.org/wiki/University of Perpet
1381,17648,Sekolah Tinggi Keguruan dan Ilmu Pendidikan STKIP Bima,Indonesia,22788,4781,7212,https://en.wikipedia.org/wiki/Sekolah Tinggi Kegur
1382,17650,Portman College,Malaysia,16709,6553,7212,https://en.wikipedia.org/wiki/Portman College
1383,17650,Universitas Triatma Mulya,Indonesia,21786,5330,7212,https://en.wikipedia.org/wiki/Universitas Triatma 
1384,17650,Universitas Kristen Artha Wacana,Indonesia,22554,4940,7212,https://en.wikipedia.org/wiki/Universitas Kristen 
1385,17673,(3) Universitas Darul Ulum Islamic Center Sudirman,Indonesia,19945,6049,7212,https://ror.org/00d7gza76
1386,17673,Royal University of Law and Economics,Kamboja,16735,6553,7212,https://ror.org/02mh3at17
1387,17673,Southwestern University Cebu Philippines,Philipine,16735,6553,7212,https://ror.org/05wawev23
1388,17673,Keris College,Malaysia,16735,6553,7212,https://en.wikipedia.org/wiki/Keris College
1389,17673,Colegio de San Juan de Letran,Philipine,16735,6553,7212,https://en.wikipedia.org/wiki/Colegio de San Juan 
1390,17692,Muhammadiyah University Sidenreng Rappang,Indonesia,23606,4311,7212,https://en.wikipedia.org/wiki/Muhammadiyah Univers
1391,17693,Davao del Norte State College,Philipine,19800,6120,7212,https://ror.org/04fhp7r51
1392,17693,Institut Bisnis & Informatika Kesatuan IBIK Bogor,Indonesia,19912,6075,7212,https://en.wikipedia.org/wiki/Institut Bisnis & In
1393,17693,Politeknik Sultan Abdul Halim,Malaysia,16755,6553,7212,https://en.wikipedia.org/wiki/Politeknik Sultan Ab
1394,17711,Universitas Tanri Abeng,Indonesia,19234,6246,7212,https://en.wikipedia.org/wiki/Universitas Tanri Ab
1395,17716,INTEC Education College,Malaysia,16780,6553,7212,https://en.wikipedia.org/wiki/INTEC Education Coll
1396,17742,Institut Teknologi Dirgantara Adisutjipto,Indonesia,16809,6553,7212,https://en.wikipedia.org/wiki/Institut Teknologi D
1397,17742,Biliran Province State University,Philipine,16809,6553,7212,https://en.wikipedia.org/wiki/Biliran Province Sta
1398,17742,Holy Cross of Davao College,Philipine,16809,6553,7212,https://en.wikipedia.org/wiki/Holy Cross of Davao 
