Ranking,World Ranking,University,Country,Impact Rank,Openness Rank,Excellence Rank,Uni Profile
1,47,National University of Singapore,Singapore,119,60,22,https://ror.org/01tgyzw49
2,87,Nanyang Technological University,Singapore,304,95,36,https://ror.org/02e7b5302
3,291,University of Malaya,Malaysia,440,373,244,https://ror.org/00rzspn62
4,447,Chulalongkorn University,Thailand,559,584,526,https://ror.org/028wp3y58
5,450,Universiti Teknologi Malaysia,Malaysia,979,413,362,https://ror.org/026w31v75
6,470,Universiti Putra Malaysia,Malaysia,912,339,442,https://ror.org/02e91jd64
7,488,Chiang Mai University,Thailand,263,926,816,https://ror.org/05m2fqn25
8,521,Universiti Sains Malaysia,Malaysia,1098,419,461,https://ror.org/02rgb2k63
9,523,Mahidol University,Thailand,518,778,661,https://ror.org/01znkr924
10,583,Universitas Indonesia,Indonesia,299,686,1126,https://ror.org/0116zj450
11,669,Vietnam National University Hanoi,Vietnam,431,1167,1047,https://ror.org/02jmfj006
12,686,Universitas Gadjah Mada,Indonesia,335,710,1389,https://ror.org/03ke6d638
13,714,Khon Kaen University,Thailand,475,1115,1171,https://ror.org/03cq4gr50
14,725,Universiti Kebangsaan Malaysia,Malaysia,1446,2706,430,https://ror.org/00gsmf457
15,760,Kasetsart University,Thailand,430,1277,1308,https://ror.org/05gzceg21
16,811,Singapore Management University,Singapore,825,763,1204,https://ror.org/050qmg959
17,826,Singapore University of Technology and Design,Singapore,1609,1048,746,https://ror.org/05j6fvn87
18,841,Prince of Songkla University,Thailand,718,1286,1236,https://ror.org/0575ycz84
19,853,Universitas Brawijaya,Indonesia,215,848,2239,https://ror.org/01wk3d929
20,897,IPB University,Indonesia,405,720,1999,https://ror.org/05smgpd89
21,949,(3) University of the Philippines Diliman,Philipine,951,1919,1147,https://ror.org/03tbh6y23
22,961,Universiti Teknologi MARA,Malaysia,1812,703,1018,https://ror.org/05n8tts92
23,990,Universitas Airlangga,Indonesia,1023,977,1418,https://ror.org/04ctejd88
24,1003,King Mongkut's University of Technology Thonburi,Thailand,1211,1371,1240,https://ror.org/0057ax056
25,1014,Ton Duc Thang University,Vietnam,5616,2214,262,https://ror.org/01drq0835
26,1028,International Islamic University of Malaysia,Malaysia,1613,881,1208,https://ror.org/03s9hs139
27,1050,Universitas Sebelas Maret UNS Surakarta,Indonesia,418,911,2376,https://ror.org/021hq5q33
28,1066,Thammasat University,Thailand,842,1407,1660,https://ror.org/002yp7f20
29,1093,Duy Tan University,Vietnam,5666,1742,398,https://ror.org/05ezss144
30,1137,King Mongkut's University of Technology North Bangkok,Thailand,1024,1519,1657,https://ror.org/04fy6jb97
31,1141,Nguyen Tat Thanh University,Vietnam,893,2922,1492,https://ror.org/04r9s1v23
32,1158,Universitas Syiah Kuala,Indonesia,815,1203,2010,https://ror.org/05v4dza81
33,1160,Institut Teknologi Sepuluh Nopember,Indonesia,916,1074,1954,https://ror.org/05kbmmt89
34,1198,Universiti Malaysia Pahang,Malaysia,3607,964,930,https://ror.org/01704wp68
35,1212,Universiti Teknologi Petronas,Malaysia,4791,945,747,https://ror.org/048g2sh07
36,1270,Hanoi University of Science and Technology,Vietnam,1681,1408,1607,https://ror.org/04nyv3z04
37,1316,Naresuan University,Thailand,841,1394,2379,https://ror.org/03e2qe334
38,1340,Universiti Utara Malaysia,Malaysia,2952,957,1392,https://ror.org/01ss10648
39,1360,King Mongkut's Institute of Technology Ladkrabang,Thailand,1332,1638,2010,https://ror.org/055mf0v62
40,1364,Telkom University,Indonesia,768,1460,2620,https://ror.org/0004wsx81
41,1364,Suranaree University of Technology,Thailand,1410,1987,1871,https://ror.org/05sgb8g78
42,1382,Asian Institute of Technology Thailand,Thailand,808,2608,2305,https://ror.org/0403qcr87
43,1422,Universiti Malaysia Perlis,Malaysia,2943,992,1554,https://ror.org/00xmkb790
44,1452,University of Nottingham Malaysia,Malaysia,3832,1389,1254,https://ror.org/04mz9mt17
45,1504,Universiti Teknikal Malaysia Melaka,Malaysia,3655,1084,1486,https://ror.org/01xb6rs26
46,1531,Universiti Pendidikan Sultan Idris,Malaysia,1611,1410,2309,https://ror.org/005bjd415
47,1543,Institut Teknologi Bandung,Indonesia,562,6553,1436,https://ror.org/00apj8t60
48,1564,VNUHCM University of Technology,Vietnam,4041,1819,1312,https://ror.org/04qva2324
49,1591,Universitas Bina Nusantara,Indonesia,1797,2094,2140,https://ror.org/03zmf4s77
50,1600,De La Salle University Manila,Philipine,2692,1415,1900,https://ror.org/04xftk194
51,1601,Universiti Tunku Abdul Rahman,Malaysia,4096,1064,1564,https://ror.org/050pq4m56
52,1615,Burapha University,Thailand,598,2689,3212,https://ror.org/01ff74m36
53,1653,Suan Sunandha Rajabhat University,Thailand,291,2724,3876,https://ror.org/01sj5ez28
54,1668,Universiti Malaysia Terengganu,Malaysia,5070,1086,1410,https://ror.org/02474f074
55,1717,Universitas Sumatera Utara,Indonesia,2372,1196,2343,https://ror.org/01kknrc90
56,1733,Universitas Lampung,Indonesia,782,1279,3605,https://ror.org/05wtz9f44
57,1755,Universiti Malaysia Sabah,Malaysia,4327,936,1804,https://ror.org/040v70252
58,1755,Multimedia University,Malaysia,3330,1228,2029,https://ror.org/04zrbnc33
59,1758,Universitas Andalas,Indonesia,971,1405,3391,https://ror.org/04ded0672
60,1760,University of Economics Ho Chi Minh City,Vietnam,2616,2532,1968,https://ror.org/010yce376
61,1781,Universiti Tenaga Nasional,Malaysia,5347,1513,1432,https://ror.org/03kxdn807
62,1798,Universitas Riau,Indonesia,669,1253,3900,https://ror.org/00nk7p507
63,1836,Walailak University,Thailand,1468,1803,2957,https://ror.org/04b69g067
64,1839,Universiti Sains Islam Malaysia,Malaysia,1373,1486,3165,https://ror.org/020ast312
65,1863,Srinakharinwirot University,Thailand,1746,2108,2761,https://ror.org/04718hx42
66,1873,Universiti Malaysia Sarawak,Malaysia,3837,1143,2130,https://ror.org/05b307002
67,1876,Universitas Padjadjaran Bandung,Indonesia,555,6553,2075,https://ror.org/00xqf8t64
68,1936,Ho Chi Minh City University of Industry,Vietnam,2827,2322,2312,https://en.wikipedia.org/wiki/Ho Chi Minh City Uni
69,1967,Universitas Jenderal Soedirman,Indonesia,447,2776,4250,https://ror.org/02fckb719
70,1977,International Medical University,Malaysia,5327,1605,1773,https://ror.org/04d4wjw61
71,1992,Universitas Muhammadiyah Yogyakarta,Indonesia,1394,1716,3468,https://ror.org/03anrkt33
72,2062,Universitas Hasanuddin,Indonesia,1072,6553,1891,https://ror.org/00da1gf19
73,2079,Ateneo de Manila University,Philipine,2297,2601,2815,https://ror.org/053kevk63
74,2121,University of Danang,Vietnam,3728,1757,2549,https://en.wikipedia.org/wiki/University of Danang
75,2127,Ubon Ratchathani University,Thailand,1688,2577,3316,https://ror.org/045nemn19
76,2131,University of Phayao,Thailand,3163,2124,2669,https://ror.org/00a5mh069
77,2133,Mae Fah Luang University,Thailand,4892,1801,2186,https://ror.org/00mwhaw71
78,2136,Universitas Sriwijaya,Indonesia,1878,2177,3316,https://ror.org/030bmb197
79,2141,National Defence University of Malaysia,Malaysia,3072,2002,2761,https://ror.org/00t53pv34
80,2152,Can Tho University,Vietnam,4049,2119,2396,https://ror.org/0071qz696
81,2184,Universiti Kuala Lumpur,Malaysia,5440,1656,2162,https://ror.org/026wwrx19
82,2184,Universitas Diponegoro,Indonesia,766,6553,2454,https://ror.org/056bjta22
83,2199,Universitas Pendidikan Indonesia,Indonesia,472,6553,2926,https://ror.org/044b0xj37
84,2223,UCSI University,Malaysia,5913,1600,2109,https://ror.org/019787q29
85,2259,Monash University Malaysia,Malaysia,3996,6553,1033,https://ror.org/00yncr324
86,2311,Universitas Negeri Malang,Indonesia,855,6553,2553,https://ror.org/00ypgyy34
87,2372,Universitas Mercu Buana,Indonesia,1755,1661,3992,https://ror.org/00qjgk605
88,2403,Universiti Tun Hussein Onn Malaysia,Malaysia,3476,6553,1317,https://ror.org/01c5wha71
89,2429,Rajamangala University of Technology Isan,Thailand,1803,2449,3876,https://ror.org/04a2rz655
90,2438,Curtin University Malaysia,Malaysia,6106,2763,2151,https://ror.org/024fm2y42
91,2545,Universiti Sultan Zainal Abidin (Universiti Darul Iman Malaysia),Malaysia,7576,1351,2317,https://ror.org/00bnk2e50
92,2550,Maejo University,Thailand,3896,3226,2877,https://ror.org/03c7s1f64
93,2552,Silpakorn University,Thailand,2514,3694,3337,https://ror.org/02d0tyt78
94,2558,Singapore Institute of Technology,Singapore,5269,1992,2771,https://ror.org/01v2c2791
95,2610,University of Brunei Darussalam,Brunei,3036,6553,1742,https://ror.org/02qnf3n86
96,2620,Universitas Muhammadiyah Malang,Indonesia,1833,1609,4456,https://ror.org/01j1wt659
97,2630,University of Santo Tomas,Philipine,3564,2286,3451,https://ror.org/00d25af97
98,2715,Universitas Negeri Yogyakarta,Indonesia,1061,6553,3081,https://ror.org/05fryw881
99,2726,Universiti Malaysia Kelantan,Malaysia,6833,1584,2761,https://ror.org/0463y2v87
100,2738,Politeknik Elektronika Negeri Surabaya,Indonesia,1784,2679,4425,https://en.wikipedia.org/wiki/Politeknik Elektroni
101,2757,Vietnam National University Ho Chi Minh City,Vietnam,6298,6553,1177,https://ror.org/00waaqh38
102,2794,Ho Chi Minh City University of Technology and Education,Vietnam,6192,2604,2795,https://ror.org/05hzn5427
103,2798,Rangsit University,Thailand,3170,2253,3900,https://ror.org/01cqcrc47
104,2801,Universitas Sam Ratulangi,Indonesia,3146,1165,4250,https://ror.org/01cn6ph21
105,2827,National Institute of Development Administration,Thailand,3487,2932,3687,https://ror.org/010g30191
106,2854,Singapore MIT Alliance for Research and Technology,Singapore,8309,3647,2112,https://ror.org/05yb3w112
107,2864,Ramkhamhaeng University,Thailand,1107,5030,4489,https://ror.org/00mrw8k38
108,2910,Hue University,Vietnam,4339,2049,3717,https://ror.org/00qaa6j11
109,2944,Hanoi University of Mining and Geology,Vietnam,5967,3560,2869,https://ror.org/01rw3qm79
110,2957,Universitas Sultan Ageng Tirtayasa,Indonesia,2802,1729,4519,https://ror.org/05dmr4w13
111,2976,Taylor's University,Malaysia,6606,6553,1372,https://ror.org/0498pcx51
112,2987,Assumption University of Thailand,Thailand,2042,3487,4489,https://ror.org/03zmqc707
113,3049,Universitas Negeri Semarang,Indonesia,1036,6553,3739,https://ror.org/02fsk7e17
114,3067,Swinburne University of Technology Sarawak Campus,Malaysia,7429,2866,2869,https://ror.org/014cjmc76
115,3092,Universitas Gunadarma,Indonesia,1159,2218,5398,https://ror.org/0028q1g19
116,3131,Universitas Ahmad Dahlan Yogyakarta,Indonesia,1286,6553,3669,https://ror.org/03hn13397
117,3155,National Economics University,Vietnam,5151,2860,3705,https://ror.org/021xbwv17
118,3157,Ngee Ann Polytechnic,Singapore,4481,6553,2162,https://ror.org/01w953x65
119,3167,(1) Ho Chi Minh City Open University,Vietnam,6663,3150,3197,https://ror.org/00tean533
120,3201,Universitas Pendidikan Ganesha,Indonesia,4599,1350,4389,https://ror.org/00bmjd793
121,3228,Vidyasirimedhi Institute of Science and Technology VISTEC,Thailand,9295,3684,2513,https://ror.org/053jehz60
122,3242,Suan Dusit University,Thailand,990,3791,5398,https://ror.org/00x7vzk16
123,3291,Sunway University,Malaysia,8742,6553,1381,https://ror.org/04mjt7f73
124,3301,Universitas Jember,Indonesia,2011,6553,3451,https://ror.org/049f0ha78
125,3305,Mahasarakham University,Thailand,2572,6553,3128,https://ror.org/0453j3c58
126,3315,Universitas Udayana,Indonesia,2828,6553,3024,https://ror.org/035qsg823
127,3345,Universitas Islam Negeri UIN Sunan Gunung Djati Bandung,Indonesia,1573,6553,3790,https://ror.org/01j33fx63
128,3365,University of San Carlos,Philipine,3952,3807,4193,https://ror.org/041jw5813
129,3367,Hanoi Medical University,Vietnam,8659,5114,2454,https://ror.org/01n2t3x97
130,3387,Universitas Dian Nuswantoro,Indonesia,1202,6553,4162,https://ror.org/02csxcg02
131,3392,Universitas Mulawarman,Indonesia,1474,6553,3935,https://ror.org/02kwq2y85
132,3422,Mindanao State University Iligan Institute of Technology,Philipine,8532,2890,3212,https://ror.org/00qemyc07
133,3472,Udon Thani Rajabhat University,Thailand,1539,4041,5302,https://ror.org/05h6yt550
134,3478,Universitas Negeri Jakarta,Indonesia,2213,6553,3623,https://ror.org/01hgg7b81
135,3504,Universiti Teknologi Brunei,Brunei,10910,2756,2855,https://en.wikipedia.org/wiki/Universiti Teknologi
136,3520,Universitas Trisakti,Indonesia,2855,1864,5247,https://en.wikipedia.org/wiki/Universitas Trisakti
137,3541,Mapua Institute of Technology,Philipine,6372,3406,3858,https://ror.org/040rd2b57
138,3585,Universitas Negeri Surabaya,Indonesia,1690,6553,4111,https://ror.org/01jf74q70
139,3654,Universitas Negeri Padang,Indonesia,1479,6553,4389,https://ror.org/04jrfgq66
140,3662,Universitas Lambung Mangkurat,Indonesia,1541,6553,4357,https://ror.org/01khn0w07
141,3676,Universitas Islam Indonesia,Indonesia,2466,6553,3790,https://ror.org/000pmrk50
142,3713,Universitas Islam Negeri UIN Syarif Hidayatullah Jakarta,Indonesia,1735,6553,4327,https://ror.org/00c7fav87
143,3713,Management and Science University,Malaysia,8594,3117,3658,https://ror.org/027zr9y17
144,3722,Universitas Negeri Makassar,Indonesia,3170,6553,3588,https://ror.org/05fzw1z08
145,3738,Asia Pacific University Malaysia,Malaysia,5271,3512,4489,https://ror.org/03c52a632
146,3753,SEGi University,Malaysia,5908,2909,4489,https://ror.org/05crr5s63
147,3758,Nakhon Pathom Rajabhat University,Thailand,6980,3586,3992,https://ror.org/03y12yp46
148,3767,Thaksin University,Thailand,5722,3293,4456,https://ror.org/00t2prd39
149,3779,Universitas Mataram,Indonesia,2022,6553,4224,https://ror.org/00fq07k50
150,3799,Universitas Atma Jaya Yogyakarta,Indonesia,1751,6553,4456,https://ror.org/01gmyr425
151,3853,Universitas Bengkulu,Indonesia,1335,6553,4806,https://ror.org/04w077t62
152,3860,INTI International University,Malaysia,5806,3361,4550,https://ror.org/03fj82m46
153,3867,Vinh University,Vietnam,8422,4620,3519,https://ror.org/0244cgm12
154,3899,Universitas Surabaya,Indonesia,5073,2178,5060,https://ror.org/013314927
155,3941,Universitas Teknokrat Indonesia,Indonesia,193,1483,7212,https://ror.org/0016by010
156,3946,Petra Christian University,Indonesia,2545,6553,4224,https://ror.org/045e97x26
157,3960,VNU Hanoi University of Science,Vietnam,9725,6553,2112,https://ror.org/05w54hk79
158,4003,Lincoln University College Malaysia,Malaysia,9818,3076,3876,https://ror.org/02yd50j87
159,4004,Thu Dau Mot University,Vietnam,12272,4042,3081,https://en.wikipedia.org/wiki/Thu Dau Mot Universi
160,4012,Universitas Muhammadiyah Surakarta,Indonesia,2167,6553,4550,https://ror.org/03cnmz153
161,4023,Bangkok University,Thailand,2835,6018,4850,https://ror.org/002qeva03
162,4067,Universitas Halu Oleo Kendari,Indonesia,2668,6553,4389,https://ror.org/02j4mf075
163,4073,Universitas Islam Negeri UIN Sunan Ampel Surabaya,Indonesia,894,6553,5398,https://en.wikipedia.org/wiki/Universitas Islam Ne
164,4077,Universitas Negeri Medan,Indonesia,2085,6553,4690,https://ror.org/022gvg072
165,4124,Visayas State University,Philipine,5809,4097,4806,https://ror.org/00rt3cy21
166,4170,Le Quy Don Technical University,Vietnam,18267,2920,2553,https://ror.org/04wgyjv21
167,4195,AIMST University,Malaysia,10971,3173,3969,https://ror.org/007gerq75
168,4204,Universitas Narotama UNNAR Surabaya,Indonesia,2751,3596,5765,https://ror.org/051wzgj54
169,4233,Universitas Kristen Satya Wacana,Indonesia,2232,6553,4893,https://ror.org/009nnre75
170,4257,Tunku Abdul Rahman University College,Malaysia,8274,3189,4654,https://ror.org/03b3zvp63
171,4304,Mahanakorn University of Technology,Thailand,7901,5133,4250,https://ror.org/05qebwp08
172,4351,Universitas Tadulako,Indonesia,3810,6553,4489,https://ror.org/01z0mc198
173,4364,Mindanao State University Marawi City,Philipine,14218,5137,3011,https://en.wikipedia.org/wiki/Mindanao State Unive
174,4433,Universitas Widyatama UTAMA Bandung,Indonesia,5792,2939,5468,https://ror.org/05v27w196
175,4436,Universitas Katolik Indonesia Atma Jaya,Indonesia,5589,6553,4049,https://ror.org/02hd2zk59
176,4456,Universitas Muhammadiyah Prof Dr Hamka,Indonesia,474,2386,7212,https://ror.org/01wqn3353
177,4474,University of the Thai Chamber of Commerce,Thailand,1769,5703,5956,https://ror.org/03m7a5q02
178,4494,Singapore Institute of Management,Singapore,5548,6553,4162,https://ror.org/01wxh6v83
179,4569,James Cook University Singapore,Singapore,6496,6553,4049,https://ror.org/01y5z8p89
180,4581,Nanyang Polytechnic,Singapore,4999,6553,4519,https://ror.org/04af7ga89
181,4646,Stamford International University Thailand,Thailand,939,6553,6071,https://ror.org/02bvdvz71
182,4651,Universitas Kristen Maranatha,Indonesia,3982,6553,4929,https://ror.org/05pd2ed85
183,4683,Nông Lâm University,Vietnam,5510,3816,5680,https://ror.org/03030f487
184,4686,Ho Chi Minh City Medicine and Pharmacy University,Vietnam,12392,6553,2905,https://en.wikipedia.org/wiki/Ho Chi Minh City Med
185,4726,Central Mindanao University,Philipine,6870,4243,5398,https://ror.org/0184f3p11
186,4738,University of Transport and Communications,Vietnam,6670,3426,5586,https://ror.org/006qk6d61
187,4744,National University of Laos,Laos,9695,4425,4893,https://ror.org/031xne895
188,4800,Universitas Sanata Dharma USD Sleman,Indonesia,4700,6553,4968,https://ror.org/02105t278
189,4820,Temasek Polytechnic,Singapore,4696,6553,5012,https://ror.org/03k1z9s75
190,4833,Royal University of Phnom Penh,Kamboja,8094,5710,4929,https://ror.org/05rtvan68
191,4844,Rajamangala University of Technology Thanyaburi,Thailand,1053,2219,7212,https://ror.org/051qqcg15
192,4846,Cebu Technological University,Philipine,11934,3155,4968,https://ror.org/04x649j07
193,4849,Universitas Malikussaleh,Indonesia,5172,6553,4929,https://ror.org/03c21xx79
194,4866,Hung Yen University of Technology and Education,Vietnam,11308,4864,4690,https://ror.org/052yjgk16
195,4866,Universitas Alma Ata Bantul,Indonesia,829,3346,7212,https://en.wikipedia.org/wiki/Universitas Alma Ata
196,4885,Politeknik Negeri Lhokseumawe,Indonesia,817,3551,7212,https://en.wikipedia.org/wiki/Politeknik Negeri Lh
197,4897,Central Luzon State University,Philipine,12170,3786,4893,https://ror.org/02qf7df19
198,4931,Universitas Terbuka,Indonesia,2617,2166,6819,https://ror.org/03zwesg40
199,4956,Institute of Technology of Cambodia,Kamboja,9444,5363,5012,https://ror.org/054z67s11
200,4961,Siam University,Thailand,4399,6553,5302,https://ror.org/04j3saz95
201,4978,Universitas Katolik Soegijapranata,Indonesia,1119,3074,7212,https://ror.org/039t4sn90
202,4982,Universitas Katolik Parahyangan,Indonesia,5338,6553,5100,https://ror.org/01texbd31
203,5001,Universitas Islam Malang,Indonesia,1456,1989,7212,https://ror.org/05ghynn27
204,5006,Universitas Medan Area,Indonesia,1512,1852,7212,https://ror.org/046581250
205,5020,Manipal University College Malaysia,Malaysia,10835,4080,5193,https://en.wikipedia.org/wiki/Manipal University C
206,5040,institut Agama islam Negeri IAIN Palangka Raya,Indonesia,1074,3575,7212,https://ror.org/04gp0de23
207,5053,Universitas Malahayati,Indonesia,1276,2993,7212,https://ror.org/00567j574
208,5058,Yala Rajabhat University,Thailand,850,4457,7212,https://ror.org/05ke4ws41
209,5066,Universitas Esa Unggul (Universitas Indonusa),Indonesia,1514,2220,7212,https://ror.org/00cwwxh37
210,5101,Institut Teknologi Telkom Purwokerto (Sekolah Tinggi Teknologi Telematika Telkom Purwokerto),Indonesia,1213,3515,7212,https://en.wikipedia.org/wiki/Institut Teknologi T
211,5109,Rajamangala University of Technology Suvarnabhumi,Thailand,8332,3622,5765,https://ror.org/01j1np431
212,5109,Rajabhat Maha Sarakham University,Thailand,6198,4442,5956,https://ror.org/03n273w86
213,5120,Universitas Jambi,Indonesia,1383,6553,6365,https://ror.org/00g1w3j30
214,5120,Universitas Musamus Merauke,Indonesia,11443,2891,5468,https://ror.org/04m59hw59
215,5128,Perdana University,Malaysia,13305,6151,4162,https://ror.org/00wfd0g93
216,5129,Tra Vinh University,Vietnam,993,4398,7212,https://ror.org/05ghhgs79
217,5134,Universitas Muhammadiyah Sumatera Utara,Indonesia,2173,1322,7212,https://ror.org/03ve0eh58
218,5143,Universitas Budi Luhur,Indonesia,1531,2814,7212,https://ror.org/04jhb1n36
219,5151,Singapore Polytechnic,Singapore,3726,6553,5680,https://ror.org/05pxcn248
220,5168,Universitas Muhammadiyah Semarang,Indonesia,1728,2527,7212,https://ror.org/05hra0856
221,5180,Universitas Tanjungpura,Indonesia,2103,1710,7212,https://ror.org/04exz5k48
222,5201,Universitas Muhammadiyah Purworejo,Indonesia,1334,3849,7212,https://ror.org/04s5e9593
223,5231,Hanoi University of Civil Engineering,Vietnam,1866,2642,7212,https://en.wikipedia.org/wiki/Hanoi University of 
224,5261,Institut Informatika dan Bisnis Darmajaya,Indonesia,1481,3844,7212,https://ror.org/039xcs474
225,5269,Universitas Muhammadiyah Gresik,Indonesia,1700,3353,7212,https://ror.org/00f8d9297
226,5272,Institut Sains dan Teknologi AKPRIND Yogyakarta,Indonesia,1544,3772,7212,https://ror.org/02m0d6s97
227,5272,Quy Nhon University,Vietnam,13618,3885,5193,https://ror.org/04h4y6q56
228,5277,(3) Nanyang Technological University National Institute of Education,Singapore,2906,1105,7212,https://en.wikipedia.org/wiki/(3) Nanyang Technolo
229,5311,Hanoi School of Public Health,Vietnam,1928,6553,6365,https://en.wikipedia.org/wiki/Hanoi School of Publ
230,5322,Batangas State University,Philipine,7104,4960,5956,https://ror.org/019en2y21
231,5324,Universitas Amikom Purwokerto,Indonesia,1568,4083,7212,https://en.wikipedia.org/wiki/Universitas Amikom P
232,5335,Far Eastern University Phillipines,Philipine,7255,6553,5193,https://ror.org/045dhqd98
233,5345,West Visayas State University,Philipine,10423,4799,5526,https://ror.org/02wbzep73
234,5354,Al Madinah International University,Malaysia,1070,5441,7212,https://ror.org/04gr21t50
235,5356,Universitas Islam Negeri UIN Ar Raniry,Indonesia,2512,2182,7212,https://ror.org/01aa12z17
236,5365,Institut Agama Islam Negeri IAIN Ponorogo,Indonesia,2093,3104,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
237,5375,Universitas Islam Negeri UIN Alauddin Makassar,Indonesia,2781,1846,7212,https://en.wikipedia.org/wiki/Universitas Islam Ne
238,5378,Open University Malaysia,Malaysia,4756,4210,6557,https://ror.org/037yy5v69
239,5386,Duke-NUS Graduate Medical School Singapore,Singapore,3700,872,7212,https://ror.org/02j1m6098
240,5386,Chiang Mai Rajabhat University,Thailand,1830,3894,7212,https://ror.org/02r6k7132
241,5388,Universitas Nasional,Indonesia,4651,2548,6819,https://ror.org/00fn3pa80
242,5398,Cyberjaya University,Malaysia,9060,6063,5398,https://en.wikipedia.org/wiki/Cyberjaya University
243,5402,Polytechnic University of the Philippines,Philipine,7544,4482,6071,https://ror.org/00e7vmq69
244,5410,Universitas Muslim Indonesia Makassar,Indonesia,8340,6553,5100,https://ror.org/02c0s8023
245,5410,Politeknik Pertanian Negeri Kupang,Indonesia,1492,4690,7212,https://en.wikipedia.org/wiki/Politeknik Pertanian
246,5417,Nha Trang University,Vietnam,9488,4233,5862,https://ror.org/047van922
247,5436,Universitas Islam Negeri UIN Walisongo Semarang,Indonesia,2934,1974,7212,https://ror.org/00gq7p328
248,5439,Rajamangala University of Technology Tawan-Ok,Thailand,1877,4057,7212,https://ror.org/03cvxzw02
249,5444,Universitas Islam Bandung,Indonesia,2942,2009,7212,https://ror.org/04tp6pr14
250,5466,Technological University of the Philippines,Philipine,11847,4874,5468,https://ror.org/00v4vjb95
251,5466,Universitas Muhammadiyah Sidoarjo,Indonesia,2662,2655,7212,https://ror.org/017hvgd88
252,5466,University of Southern Mindanao,Philipine,8836,5353,5765,https://ror.org/04mtcj695
253,5476,Thuyloi University,Vietnam,1969,4135,7212,https://ror.org/04afshy24
254,5481,(3) University of the Philippines in the Visayas,Philipine,11308,6553,4690,https://ror.org/00800dw77
255,5496,Silliman University,Philipine,5704,5663,6204,https://ror.org/01ry6r150
256,5517,Dalat University,Vietnam,8102,3972,6204,https://ror.org/014cke235
257,5519,Universitas Negeri Gorontalo,Indonesia,3222,2085,7212,https://ror.org/05417j740
258,5525,Universitas PGRI Madiun,Indonesia,3059,2416,7212,https://ror.org/01vt7w207
259,5530,Phetchaburi Rajabhat University,Thailand,2610,3148,7212,https://ror.org/01d3jsk91
260,5535,Phramongkutklao College of Medicine,Thailand,18337,4622,4654,https://en.wikipedia.org/wiki/Phramongkutklao Coll
261,5551,Institut Agama Islam Negeri IAIN Kendari,Indonesia,2339,3798,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
262,5556,Universitas Islam Sultan Agung Semarang,Indonesia,3442,2023,7212,https://ror.org/015hejj83
263,5556,Foreign Trade University,Vietnam,1242,5840,7212,https://ror.org/03a8q7p75
264,5573,Thai Nguyen University,Vietnam,2837,6553,6365,https://ror.org/02128gy91
265,5574,Sukhothai Thammathirat Open University,Thailand,2171,4283,7212,https://ror.org/00epajq42
266,5579,Pibulsongkram Rajabhat University,Thailand,2431,3806,7212,https://ror.org/02x7w2961
267,5641,Institut Seni Indonesia Denpasar,Indonesia,2416,4124,7212,https://ror.org/01d4n5957
268,5658,Universitas Pancasila,Indonesia,6176,2524,6819,https://ror.org/0062tve42
269,5671,Adamson University,Philipine,10391,6260,5398,https://ror.org/00xbjad38
270,5674,Buriram Rajabhat University,Thailand,1903,5191,7212,https://ror.org/00cgkxv41
271,5677,University of the East,Philipine,10036,6553,5142,https://ror.org/03mjcd737
272,5679,Universitas Komputer Indonesia UNIKOM,Indonesia,2406,6553,6557,https://ror.org/02j652854
273,5699,Universitas Islam Negeri Raden Intan Lampung,Indonesia,746,6553,7212,https://ror.org/027de2r94
274,5702,Kanchanaburi Rajabhat University,Thailand,1349,6075,7212,https://ror.org/03r1pm171
275,5717,Yale NUS College,Singapore,3528,2882,7212,https://ror.org/04g9wch13
276,5717,Universitas Muhammadiyah Lamongan,Indonesia,2214,4867,7212,https://en.wikipedia.org/wiki/Universitas Muhammad
277,5737,University of Yangon,Myanmar,12633,6553,4806,https://ror.org/038724806
278,5743,Centro Escolar University Manila Mendiola,Philipine,10835,6361,5348,https://ror.org/04janbd12
279,5751,Universitas Nahdlatul Ulama Surabaya,Indonesia,3450,3246,7212,https://en.wikipedia.org/wiki/Universitas Nahdlatu
280,5756,Thai Nguyen University of Agriculture and Forestry,Vietnam,3364,6425,6557,https://ror.org/028zxrr95
281,5766,Institut Agama Islam Negeri IAIN Kediri,Indonesia,3226,3678,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
282,5777,Sripatum University,Thailand,2315,5063,7212,https://ror.org/05d0b7d20
283,5797,National University Philippines,Philipine,11898,5405,5680,https://ror.org/000a8qk84
284,5804,University of San Jose Recoletos,Philipine,7772,5945,6071,https://ror.org/04jmbkr13
285,5826,Poltekkes Semarang,Indonesia,4202,2664,7212,https://ror.org/05hkzza95
286,5826,Hanoi University of Social Sciences and Humanities,Vietnam,911,6553,7212,https://en.wikipedia.org/wiki/Hanoi University of 
287,5835,Universitas Pembangunan Nasional Veteran Yogyakarta,Indonesia,4502,2259,7212,https://ror.org/0420bzz85
288,5845,Institut Agama Islam Negeri IAIN Zawiyah Cot Kala Langsa,Indonesia,3316,3962,7212,https://en.wikipedia.org/wiki/Institut Agama Islam
289,5854,University of Science and Technology of Southern Philippines USTP,Philipine,15031,4545,5526,https://ror.org/05rt7ve48
290,5867,Chiang Rai Rajabhat University,Thailand,1164,6457,7212,https://ror.org/005rvws84
