,hotel_name,review,address,prices
53,54. Park View Hotel Bandung,4.0,"Jl. Sukajadi no. 153, Bandung 40162 Indonesia",227593
54,55. Lembang Asri,4.0,"Km 4 Jl Kolonel Masturi Lembang, Bandung Indonesia",468273
55,56. Atlantic City Hotel,4.0,"Jl. Pasirkaliki no. 126, Bandung 40171 Indonesia",288394
56,57. Yokotel City,5.0,"Jl. Dr. Rajiman No.3 Pasir Kaliki, Cicendo, Bandung 40171 Indonesia",302474
57,58. Cihampelas Hotel 2 RedPartner,3.5,"Jl. Cihampelas No. 222, Coblong, Bandung 40131 Indonesia",61053
58,59. Capital O 1044 Diemdi Hotel,5.0,"79, Jl. Kiaracondong No.147 B, Bandung 40218 Indonesia",80284
59,60. OYO 342 De'kayakini Hotel,3.5,"Jl. Cipamokolan Komp. Rancaloa Regency Ii No.7 Cipamokolan, Rancasari, Riung Bandung, Bandung 40292 Indonesia",93800
60,61. Travello Hotel Bandung,5.0,"Jl. Dr Setiabudhi no. 268, Bandung 40143 Indonesia",489395
61,62. ibis Styles Bandung Grand Central,5.0,"Jl. Diponegoro 27, Bandung 40115 Indonesia",1157025
62,63. Grand Dafam Braga Bandung,5.0,"Jalan Braga No. 99-101, Bandung 40111 Indonesia",484817
63,64. Gino Feruci Braga Hotel,4.5,"Jln. Braga no. 67, Bandung 40111 Indonesia",371071
64,65. Serela Cihampelas Hotel Bandung,4.5,"Jl. Cihampelas no. 147, Bandung 40131 Indonesia",277022
65,66. Zest Hotel Sukajadi,4.0,"Jl. Sukajadi no. 16, Bandung 40161 Indonesia",376901
66,67. Hilton Bandung,4.5,"H.O.S. Tjokroaminoto no 41 - 43, Bandung 40172 Indonesia",1300000
67,68. ASTON Pasteur,4.5,"Jl. Dr. Djundjunan no. 162, Bandung 40162 Indonesia",565185
68,69. Panen Hotel Bandung,5.0,"100 Jalan L. L. R.E. Martadinata, Bandung 40113 Indonesia",92107
69,70. GH Universal Hotel,5.0,"Jl. Dr Setiabudhi 376, Bandung 40143 Indonesia",484468
70,71. Arion Suites Hotel,5.0,"Jl. Otto Iskandardinata No. 16 Bandung City Center, Bandung 40171 Indonesia",257607
71,72. Gumilang Regency Hotel,3.5,"Jl. Setiabudi no. 323-325, Bandung 40154 Indonesia",434694
72,73. Hotel Santika Pasir Koja,5.0,"Jl. Peta No.176, Bandung 40231 Indonesia",447296
73,74. Art Deco Luxury Hotel & Residence,4.0,"Jl. Rancabentang No. 2, Bandung 40142 Indonesia",951045
74,75. Kollektiv Hotel,4.5,"Jl. Prof. Insinyur Doktor Sutami No. 62, Bandung 40152 Indonesia",403906
75,76. Horison Green Forest Resort,4.0,"Jl. Sersan Bajuri No.102 Cihideung, Bandung 40559 Indonesia",691646
76,77. Sandalwood Boutique Hotel,4.5,"Jalan Seskoau No 1, Bandung 40791 Indonesia",819904
77,78. Oasis Siliwangi Hotel Bandung,4.0,"Jl. Lombok No.10, Bandung 40113 Indonesia",405993
78,79. PRIME PARK Hotel Bandung,4.0,"Jl. P.H.H. Mustofa no. 47/57, Bandung 40124 Indonesia",383739
79,80. Hotel Citradream Bandung,4.0,"Jl. Pasirkaliki no. 36-42, Bandung 40171 Indonesia",277631
80,81. V Hotel & Residence,4.0,"Jl. Terusan Sutami III Terusan Setrawangi Raya, Bandung Indonesia",178073
81,82. The Silk At Dago,3.5,"Jl. Ir. H.Djuanda No.392 - 394, Bandung 40135 Indonesia",306053
82,83. Nindya Biodistrict Hotel,5.0,"Jl. Phh. Mustofa, No. 57 Perempatan Cikutra, Bandung 40124 Indonesia",208035
83,84. Vio Cihampelas Hotel,3.5,"Jl. Cihampelas no. 108, Bandung 40116 Indonesia",218874
84,85. Bali World Hotel,3.0,"Jl. Soekarno-Hatta no. 713 By-Pass Timur, Bandung 40286 Indonesia",364718
85,86. HAY Bandung,4.0,"Jl. Trunojoyo no. 19, Bandung 40115 Indonesia",518513
86,87. De Batara Hotel,3.5,"Jl. Cihampelas no. 112, Bandung 40116 Indonesia",227878
87,88. Grand Aquila Hotel Bandung,3.5,"Jl. DR Djundjunan 116, Bandung 40163 Indonesia",685736
88,89. Green Batara Hotel,3.5,"Jln. Cihampelas no 145, Bandung 40131 Indonesia",232754
89,90. Vio Hotel Pasteur,3.5,"Jl. Dr Jungjunan no. 154 Pasteur, Bandung 40163 Indonesia",367859
