manhwa,score,ranked,popularity_rank,members,favorites
833,6.92,9620,20649,507,1
834,6.92,9621,14729,904,2
835,6.92,9622,16803,729,3
836,6.92,9627,12745,1122,3
837,6.92,9677,8745,1870,7
838,6.92,9694,19238,579,1
839,6.92,9712,13785,1006,1
840,6.92,9715,18043,647,3
841,6.91,9740,10248,1524,5
842,6.91,9742,7884,2141,7
843,6.91,9784,12890,1103,2
844,6.91,9791,15521,832,1
845,6.91,9797,10266,1520,15
846,6.91,9798,7149,2410,10
847,6.91,9826,16504,751,4
848,6.91,9827,16902,722,4
849,6.91,9828,23382,399,2
850,6.91,9829,28117,264,2
851,6.91,9830,25549,330,5
852,6.91,9831,24419,365,1
853,6.91,9832,8620,1902,1
854,6.9,9892,13762,1008,13
855,6.9,9923,14750,903,2
856,6.9,9947,10345,1504,8
857,6.9,9955,16712,736,9
858,6.9,9961,2921,6391,65
859,6.9,9978,20471,516,0
860,6.9,9994,17460,684,12
861,6.9,9999,9680,1648,7
862,6.9,10000,28500,256,2
863,6.9,10001,25814,322,2
864,6.9,10002,10645,1442,6
865,6.9,10003,23685,389,0
866,6.9,10004,6286,2809,20
867,6.9,10006,18105,643,2
868,6.89,10011,23676,389,2
869,6.89,10013,8424,1965,15
870,6.89,10014,11177,1350,4
871,6.89,10015,19293,576,2
872,6.89,10016,10255,1523,9
873,6.89,10017,22393,433,2
874,6.89,10018,22499,429,1
875,6.89,10019,20271,525,7
876,6.89,10021,12368,1173,3
877,6.89,10024,7013,2460,2
878,6.89,10029,23031,411,0
879,6.89,10033,21902,452,3
880,6.89,10039,14330,943,2
881,6.89,10045,13194,1066,1
882,6.89,10142,4420,4161,27
883,6.88,10194,12071,1216,10
884,6.88,10195,13403,1046,5
885,6.88,10196,11078,1368,2
886,6.88,10197,23684,389,2
887,6.88,10198,10492,1470,0
888,6.88,10199,23201,405,1
889,6.88,10200,22303,436,2
890,6.88,10201,10111,1553,3
891,6.88,10202,9232,1749,3
892,6.88,10203,17616,675,0
893,6.88,10204,6736,2586,3
894,6.88,10205,4779,3841,4
895,6.88,10206,17990,651,1
896,6.88,10207,16910,722,8
897,6.88,10210,21040,490,1
898,6.88,10217,22504,429,3
899,6.88,10241,19721,552,0
900,6.88,10256,9687,1645,21
901,6.88,10258,17835,660,2
902,6.88,10262,20243,526,1
903,6.88,10287,20364,520,6
904,6.87,10305,15253,857,11
905,6.87,10335,22376,433,3
906,6.87,10352,13884,995,3
907,6.87,10355,8485,1944,5
908,6.87,10356,10375,1498,3
909,6.87,10357,22498,429,0
910,6.87,10358,13878,996,9
911,6.87,10359,10240,1525,8
912,6.87,10360,11512,1296,10
913,6.87,10361,16691,738,3
914,6.87,10362,18011,649,1
915,6.87,10363,18951,595,2
916,6.87,10364,13595,1025,2
917,6.87,10408,11017,1378,7
918,6.87,10424,15366,847,0
919,6.87,10436,14735,904,0
920,6.86,10488,8778,1861,13
921,6.86,10489,7664,2222,15
922,6.86,10491,3461,5442,83
923,6.86,10500,13638,1020,8
924,6.86,10511,11270,1336,9
925,6.86,10512,21790,457,4
926,6.86,10527,21188,483,2
927,6.86,10528,9072,1781,8
928,6.86,10529,21102,487,6
929,6.86,10533,15323,852,3
930,6.86,10534,11318,1328,3
931,6.86,10535,21777,458,1
932,6.86,10536,7249,2376,2
933,6.86,10537,10116,1551,5
934,6.86,10538,18082,644,2
935,6.86,10542,4077,4543,20
936,6.86,10544,15262,857,1
937,6.86,10552,17741,666,1
938,6.85,10603,18811,603,2
939,6.85,10621,24221,371,0
940,6.85,10622,21224,482,1
941,6.85,10628,10368,1498,7
942,6.85,10634,14073,971,8
943,6.85,10653,16680,739,3
944,6.85,10654,19774,549,2
945,6.85,10661,17254,698,1
946,6.85,10702,18504,621,0
947,6.85,10719,15633,822,3
948,6.85,10726,20238,526,2
949,6.85,10728,11570,1287,4
950,6.85,10729,10180,1537,7
951,6.85,10733,6449,2722,9
952,6.84,10736,7282,2364,5
953,6.84,10741,19946,541,7
954,6.84,10743,17957,653,2
955,6.84,10744,6637,2625,6
956,6.84,10745,14664,911,1
957,6.84,10746,21287,479,5
958,6.84,10749,27898,269,0
959,6.84,10750,18841,602,0
960,6.84,10754,16239,774,1
961,6.84,10759,14668,910,2
962,6.84,10763,23181,406,0
963,6.84,10811,20687,504,2
964,6.84,10825,15991,793,0
965,6.84,10828,18391,628,0
966,6.84,10878,27412,280,3
967,6.84,10893,25252,340,3
968,6.83,10936,21492,470,6
969,6.83,10937,10539,1461,12
970,6.83,10938,20707,504,0
971,6.84,10747,14911,889,0
972,6.83,10939,10588,1451,5
973,6.83,10941,12182,1200,1
974,6.83,10959,16718,736,5
975,6.83,10983,23657,390,0
976,6.83,10990,13016,1088,1
977,6.83,10994,22516,428,4
978,6.83,11014,22415,432,1
979,6.83,11018,10005,1578,11
980,6.82,11039,25574,330,0
981,6.82,11045,16066,788,2
982,6.82,11055,19382,571,2
983,6.82,11059,3322,5692,23
984,6.82,11066,22006,447,1
985,6.82,11067,14932,887,1
986,6.82,11068,8478,1946,8
987,6.82,11069,27017,290,0
988,6.82,11070,7990,2105,6
989,6.82,11071,11857,1246,1
990,6.82,11072,10739,1423,0
991,6.82,11073,17359,691,1
992,6.82,11074,9120,1771,2
993,6.82,11144,22451,431,2
994,6.8100000000000005,11195,20603,509,6
995,6.8100000000000005,11201,22023,446,9
996,6.8100000000000005,11210,22202,439,1
997,6.8100000000000005,11248,13974,983,2
998,6.8100000000000005,11249,5147,3524,7
999,6.8100000000000005,11250,9870,1605,7
